,count,tract,date
361,50,48201410402,2021-01-16
362,77,48201410500,2021-01-16
363,153,48201410600,2021-01-16
364,87,48201410701,2021-01-16
365,192,48201410702,2021-01-16
366,102,48201410800,2021-01-16
367,102,48201410900,2021-01-16
368,183,48201411000,2021-01-16
369,147,48201411100,2021-01-16
370,92,48201411200,2021-01-16
371,162,48201411300,2021-01-16
372,109,48201411400,2021-01-16
373,301,48201411501,2021-01-16
374,152,48201411502,2021-01-16
375,129,48201411600,2021-01-16
376,86,48201411700,2021-01-16
377,208,48201411800,2021-01-16
378,92,48201411900,2021-01-16
379,176,48201412000,2021-01-16
380,21,48201412100,2021-01-16
381,185,48201412200,2021-01-16
382,379,48201412300,2021-01-16
383,185,48201412400,2021-01-16
384,87,48201412500,2021-01-16
385,172,48201412600,2021-01-16
386,207,48201412700,2021-01-16
387,453,48201412800,2021-01-16
388,154,48201412900,2021-01-16
389,180,48201413000,2021-01-16
390,203,48201413100,2021-01-16
391,104,48201413201,2021-01-16
392,104,48201413202,2021-01-16
393,473,48201413300,2021-01-16
394,102,48201420100,2021-01-16
395,133,48201420200,2021-01-16
396,114,48201420300,2021-01-16
397,138,48201420400,2021-01-16
398,51,48201420500,2021-01-16
399,114,48201420600,2021-01-16
400,111,48201420700,2021-01-16
401,147,48201420800,2021-01-16
402,425,48201420900,2021-01-16
403,130,48201421000,2021-01-16
404,124,48201421101,2021-01-16
405,167,48201421102,2021-01-16
406,67,48201421201,2021-01-16
407,77,48201421202,2021-01-16
408,223,48201421300,2021-01-16
409,76,48201421401,2021-01-16
410,86,48201421402,2021-01-16
411,103,48201421403,2021-01-16
412,240,48201421500,2021-01-16
413,191,48201421600,2021-01-16
414,188,48201421700,2021-01-16
415,175,48201421800,2021-01-16
416,183,48201421900,2021-01-16
417,96,48201422000,2021-01-16
418,133,48201422100,2021-01-16
419,215,48201422200,2021-01-16
420,226,48201422301,2021-01-16
421,112,48201422302,2021-01-16
422,122,48201422401,2021-01-16
423,140,48201422402,2021-01-16
424,203,48201422500,2021-01-16
425,212,48201422600,2021-01-16
426,170,48201422701,2021-01-16
427,147,48201422702,2021-01-16
428,134,48201422800,2021-01-16
429,131,48201422900,2021-01-16
430,191,48201423000,2021-01-16
431,81,48201423100,2021-01-16
432,91,48201423201,2021-01-16
433,188,48201423202,2021-01-16
434,161,48201423301,2021-01-16
435,200,48201423302,2021-01-16
436,110,48201423401,2021-01-16
437,111,48201423402,2021-01-16
438,63,48201423500,2021-01-16
439,269,48201423600,2021-01-16
440,319,48201430100,2021-01-16
441,94,48201430200,2021-01-16
442,504,48201430300,2021-01-16
443,287,48201430400,2021-01-16
444,205,48201430500,2021-01-16
445,350,48201430600,2021-01-16
446,223,48201430700,2021-01-16
447,442,48201430800,2021-01-16
448,614,48201430900,2021-01-16
449,678,48201431000,2021-01-16
450,144,48201431101,2021-01-16
451,126,48201431102,2021-01-16
452,189,48201431201,2021-01-16
453,148,48201431202,2021-01-16
454,179,48201431301,2021-01-16
455,278,48201431302,2021-01-16
456,58,48201431401,2021-01-16
457,124,48201431402,2021-01-16
458,139,48201431501,2021-01-16
459,186,48201431502,2021-01-16
460,149,48201431600,2021-01-16
461,231,48201431700,2021-01-16
462,173,48201431801,2021-01-16
463,168,48201431802,2021-01-16
464,206,48201431900,2021-01-16
465,135,48201432001,2021-01-16
466,159,48201432002,2021-01-16
467,317,48201432100,2021-01-16
468,201,48201432200,2021-01-16
469,370,48201432300,2021-01-16
470,209,48201432400,2021-01-16
471,210,48201432500,2021-01-16
472,57,48201432600,2021-01-16
473,98,48201432701,2021-01-16
474,126,48201432702,2021-01-16
475,220,48201432801,2021-01-16
476,188,48201432802,2021-01-16
477,116,48201432901,2021-01-16
478,141,48201432902,2021-01-16
479,87,48201433001,2021-01-16
480,47,48201433002,2021-01-16
481,100,48201433003,2021-01-16
482,84,48201433100,2021-01-16
